year,bedrooms,property_type,location,avg_rent
2008,Three bed,Other flats,"Carrickmines, Dublin 18",
2008,Three bed,Other flats,"Leopardstown, Dublin 18",
2008,Three bed,Other flats,"Sandyford, Dublin 18",
2008,1 to 2 bed,All property types,Dublin,1147.99
2008,1 to 2 bed,All property types,"Shankill, Dublin",1240.19
2008,1 to 2 bed,All property types,"Stillorgan, Dublin",1387.58
2008,1 to 2 bed,All property types,Dublin 2,1349.3
2008,1 to 2 bed,All property types,"Charlemont Street, Dublin 2",1449.88
2008,1 to 2 bed,All property types,Dublin 6,978.91
2008,1 to 2 bed,All property types,"Milltown, Dublin 6",1465.97
2008,1 to 2 bed,All property types,"Ranelagh, Dublin 6",974.03
2008,1 to 2 bed,All property types,Dublin 14,1341.42
2008,1 to 2 bed,All property types,"Churchtown, Dublin 14",1294.6
2008,1 to 2 bed,All property types,Dublin 16,1300.13
2008,1 to 2 bed,All property types,"Dundrum, Dublin 16",1408.57
2008,1 to 2 bed,All property types,Dublin 18,1366.66
2008,1 to 2 bed,All property types,"Cabinteely, Dublin 18",1256.53
2008,1 to 2 bed,All property types,"Carrickmines, Dublin 18",1375.36
2008,1 to 2 bed,All property types,"Leopardstown, Dublin 18",
2008,1 to 2 bed,All property types,"Sandyford, Dublin 18",1391.83
2008,1 to 2 bed,Detached house,Dublin,1316.81
2008,1 to 2 bed,Detached house,"Shankill, Dublin",
2008,1 to 2 bed,Detached house,"Stillorgan, Dublin",
2008,1 to 2 bed,Detached house,Dublin 2,
2008,1 to 2 bed,Detached house,"Charlemont Street, Dublin 2",
2008,1 to 2 bed,Detached house,Dublin 6,
2008,1 to 2 bed,Detached house,"Milltown, Dublin 6",
2008,1 to 2 bed,Detached house,"Ranelagh, Dublin 6",
2008,1 to 2 bed,Detached house,Dublin 14,
2008,1 to 2 bed,Detached house,"Churchtown, Dublin 14",
2008,1 to 2 bed,Detached house,Dublin 16,
2008,1 to 2 bed,Detached house,"Dundrum, Dublin 16",
2008,1 to 2 bed,Detached house,Dublin 18,
2008,1 to 2 bed,Detached house,"Cabinteely, Dublin 18",
2008,1 to 2 bed,Detached house,"Carrickmines, Dublin 18",
2008,1 to 2 bed,Detached house,"Leopardstown, Dublin 18",
