stop_sequence,station,latitude,longitude,distance_km_to_centre,travel_min_to_centre,park_and_ride,rtb_area,year,bedrooms,property_type,avg_rent,dublin_avg,vs_dublin_pct
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,All bedrooms,Terrace house,1518.78,1380.59,10.0
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,All bedrooms,Apartment,1307.35,1266.06,3.3
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,Two bed,All property types,1357.68,1296.13,4.7
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,Three bed,All property types,1601.14,1437.56,11.4
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,Three bed,Semi detached house,1620.71,1368.08,18.5
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,1 to 2 bed,All property types,1294.6,1147.99,12.8
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,1 to 2 bed,Apartment,1291.67,1230.06,5.0
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,1 to 3 bed,All property types,1452.01,1220.36,19.0
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,1 to 3 bed,Semi detached house,1588.13,1317.88,20.5
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,1 to 3 bed,Apartment,1307.35,1262.6,3.5
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,Four plus bed,All property types,2047.25,1784.78,14.7
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,All bedrooms,All property types,1511.46,1271.28,18.9
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,All bedrooms,Semi detached house,1661.98,1429.18,16.3
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,All bedrooms,Terrace house,1588.01,1380.59,15.0
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,All bedrooms,Apartment,1451.43,1266.06,14.6
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,One bed,All property types,1159.91,922.96,25.7
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,One bed,Apartment,1185.59,1051.21,12.8
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,Two bed,All property types,1466.63,1296.13,13.2
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,Two bed,Apartment,1477.68,1323.06,11.7
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,Three bed,All property types,1734.7,1437.56,20.7
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,Three bed,Semi detached house,1608.18,1368.08,17.6
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,Three bed,Terrace house,1740.18,1418.08,22.7
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,1 to 2 bed,All property types,1408.57,1147.99,22.7
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,1 to 2 bed,Apartment,1420.07,1230.06,15.4
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,1 to 3 bed,All property types,1475.29,1220.36,20.9
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,1 to 3 bed,Semi detached house,1569.55,1317.88,19.1
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,1 to 3 bed,Terrace house,1611.91,1317.42,22.4
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,1 to 3 bed,Apartment,1451.43,1262.6,15.0
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,Four plus bed,All property types,1827.21,1784.78,2.4
8,Dundrum,53.292358,-6.245117,5.3,17,No,"Dundrum, Dublin 16",2008,Four plus bed,Semi detached house,1772.91,1736.48,2.1
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,All bedrooms,All property types,1511.46,1271.28,18.9
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,All bedrooms,Semi detached house,1661.98,1429.18,16.3
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,All bedrooms,Terrace house,1588.01,1380.59,15.0
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,All bedrooms,Apartment,1451.43,1266.06,14.6
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,One bed,All property types,1159.91,922.96,25.7
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,One bed,Apartment,1185.59,1051.21,12.8
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,Two bed,All property types,1466.63,1296.13,13.2
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,Two bed,Apartment,1477.68,1323.06,11.7
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,Three bed,All property types,1734.7,1437.56,20.7
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,Three bed,Semi detached house,1608.18,1368.08,17.6
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,Three bed,Terrace house,1740.18,1418.08,22.7
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,1 to 2 bed,All property types,1408.57,1147.99,22.7
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,1 to 2 bed,Apartment,1420.07,1230.06,15.4
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,1 to 3 bed,All property types,1475.29,1220.36,20.9
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,1 to 3 bed,Semi detached house,1569.55,1317.88,19.1
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,1 to 3 bed,Terrace house,1611.91,1317.42,22.4
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,1 to 3 bed,Apartment,1451.43,1262.6,15.0
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,Four plus bed,All property types,1827.21,1784.78,2.4
9,Balally,53.286106,-6.236772,6.11,19,Yes,"Dundrum, Dublin 16",2008,Four plus bed,Semi detached house,1772.91,1736.48,2.1
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,All bedrooms,All property types,1569.16,1271.28,23.4
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,All bedrooms,Detached house,2133.19,1772.33,20.4
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,All bedrooms,Semi detached house,1724.05,1429.18,20.6
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,All bedrooms,Terrace house,1643.85,1380.59,19.1
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,All bedrooms,Apartment,1448.9,1266.06,14.4
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,One bed,All property types,1190.53,922.96,29.0
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,One bed,Apartment,1206.38,1051.21,14.8
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,Two bed,All property types,1459.51,1296.13,12.6
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,Two bed,Apartment,1474.13,1323.06,11.4
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,Three bed,All property types,1672.5,1437.56,16.3
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,Three bed,Semi detached house,1640.47,1368.08,19.9
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,Three bed,Apartment,1834.26,1604.79,14.3
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,1 to 2 bed,All property types,1387.58,1147.99,20.9
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,1 to 2 bed,Apartment,1401.95,1230.06,14.0
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,1 to 3 bed,All property types,1469.15,1220.36,20.4
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,1 to 3 bed,Semi detached house,1566.29,1317.88,18.8
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,1 to 3 bed,Terrace house,1521.62,1317.42,15.5
10,Kilmacud,53.283008,-6.223886,6.71,21,No,"Stillorgan, Dublin",2008,1 to 3 bed,Apartment,1443.59,1262.6,14.3
